ambulances,,,Ambulance deployment determined by results from running local search script: JEMSS/example/scripts/deployment_search.jl
index,stationIndex,class,
1,2,1,
2,2,1,
3,3,1,
4,4,1,
5,4,1,
6,6,1,
7,7,1,
8,7,1,
9,8,1,
10,8,1,
11,9,1,
12,11,1,
13,12,1,
14,13,1,
15,13,1,
16,15,1,
