ambulances,,,Ambulance deployment determined by results from running local search script: JEMSS/example/scripts/deployment_search.jl
index,stationIndex,class,
1,1,1,
2,1,1,
3,2,1,
4,3,1,
5,4,1,
6,4,1,
7,5,1,
8,5,1,
9,7,1,
10,7,1,
11,8,1,
12,8,1,
