ambulances,,,Ambulance deployment determined by results from running local search script: JEMSS/example/scripts/deployment_search.jl
index,stationIndex,class,
1,1,1,
2,1,1,
3,2,1,
4,3,1,
5,4,1,
6,5,1,
7,6,1,
8,8,1,
9,9,1,
10,10,1,
11,10,1,
12,11,1,
13,12,1,
14,13,1,
15,14,1,
16,15,1,
17,16,1,
18,17,1,
19,18,1,
