hospitals,,,,,,,
index,x,y,,Facility name,address,,coordinates
1,-113.496566,53.55696,,Royal Alexandra Hospital,"10240 Kingsway Avenue NW, Edmonton",,Latitude: 53.55696 | Longitude: -113.496566
2,-113.523769,53.52071,,University of Alberta Hospital,"8440 112 Street NW, Edmonton",,Latitude: 53.52071 | Longitude: -113.523769
3,-113.417621,53.60444,,Northeast Community Health Centre,"14007 50 Street, Edmonton",,Latitude: 53.60444 | Longitude: -113.417621
4,-113.429724,53.461583,,Grey Nuns Community Hospital,"1100 Youville Dr W Northwest, Edmonton, AB T6L 5X8, Canada",,Latitude: 53.461583 | Longitude: -113.429724
5,-113.613514,53.521115,,Misericordia Community Hospital,"16940 87 Ave NW, Edmonton, AB T5R 4H5, Canada",,Latitude: 53.521115 | Longitude: -113.613514
