ambulances,,,Ambulance deployment determined by results from running local search script: JEMSS/example/scripts/deployment_search.jl
index,stationIndex,class,
1,1,1,
2,2,1,
3,3,1,
4,3,1,
5,4,1,
6,4,1,
7,6,1,
8,7,1,
9,7,1,
10,9,1,
11,9,1,
12,10,1,
13,11,1,
14,11,1,
15,12,1,
16,14,1,
